BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    38	0.380	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.8	       0.6	      -4.7	       0.4	       2.9	      -2.6	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.0	       0.3	       8.8	      -3.0	      -0.3	       8.8	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.2	       2.0	       1.1	      -8.1	       3.5	
    39	0.390	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.8	       0.6	      -4.7	       0.4	       2.9	      -2.6	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.0	       0.3	       8.9	      -3.0	      -0.3	       8.9	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.2	      -0.0	      90.0	       1.6	     -12.2	       2.0	       1.1	      -8.2	       3.5	
    40	0.400	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.8	       0.6	      -4.7	       0.4	       2.9	      -2.5	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.0	       0.3	       8.8	      -3.0	      -0.3	       8.8	       1.2	       5.4	      -6.9	      -1.2	      -5.4	      -6.9	     -24.6	     180.0	      90.0	      14.1	       0.0	      90.0	       1.5	     -12.2	       2.0	       1.1	      -8.2	       3.6	
    41	0.410	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.5	      -4.7	       0.6	      -4.7	       0.4	       2.9	      -2.6	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.0	       0.3	       8.8	      -3.0	      -0.3	       8.8	       1.2	       5.4	      -6.8	      -1.2	      -5.4	      -6.8	     -24.6	    -180.0	      90.0	      14.1	      -0.0	      90.0	       1.5	     -12.2	       2.0	       1.1	      -8.2	       3.5	
    42	0.420	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.8	       0.6	      -4.7	       0.4	       2.9	      -2.6	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.0	       0.3	       8.8	      -3.0	      -0.3	       8.8	       1.2	       5.4	      -6.8	      -1.2	      -5.4	      -6.8	     -24.6	     180.0	      90.0	      14.1	      -0.0	      90.0	       1.5	     -12.2	       2.0	       1.1	      -8.2	       3.5	
    43	0.430	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.5	      -4.8	       0.7	      -4.7	       0.4	       2.9	      -2.6	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.0	       0.2	       8.8	      -3.0	      -0.2	       8.8	       1.2	       5.4	      -6.8	      -1.2	      -5.4	      -6.8	     -24.6	    -180.0	      90.0	      14.1	      -0.0	      90.0	       1.5	     -12.2	       2.0	       1.1	      -8.2	       3.5	
    44	0.440	      -9.6	       1.7	      -0.9	      -1.6	      -9.7	      -3.5	      -4.8	       0.7	      -4.7	       0.4	       2.9	      -2.6	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.0	       0.2	       8.8	      -3.0	      -0.2	       8.8	       1.2	       5.4	      -6.8	      -1.2	      -5.4	      -6.8	     -24.6	    -180.0	      90.0	      14.1	       0.0	      90.0	       1.6	     -12.1	       2.0	       1.1	      -8.2	       3.5	
    45	0.450	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.5	      -4.8	       0.7	      -4.7	       0.4	       2.9	      -2.5	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.1	       0.2	       8.8	      -3.1	      -0.2	       8.8	       1.2	       5.5	      -6.9	      -1.2	      -5.5	      -6.9	     -24.6	     180.0	      90.0	      14.1	       0.0	      90.0	       1.6	     -12.1	       2.0	       1.1	      -8.2	       3.5	
    46	0.460	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.8	       0.7	      -4.7	       0.4	       2.9	      -2.5	       2.0	       5.7	       1.9	      -2.0	      -5.7	       1.9	       3.1	       0.2	       8.9	      -3.1	      -0.2	       8.9	       1.2	       5.5	      -6.9	      -1.2	      -5.5	      -6.9	     -24.6	    -180.0	      90.0	      14.1	       0.0	      90.0	       1.5	     -12.2	       1.9	       1.1	      -8.2	       3.6	
    47	0.470	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.8	       0.7	      -4.7	       0.5	       2.9	      -2.5	       2.0	       5.7	       1.8	      -2.0	      -5.7	       1.8	       3.1	       0.2	       8.9	      -3.1	      -0.2	       8.9	       1.2	       5.5	      -6.9	      -1.2	      -5.5	      -6.9	     -24.6	     180.0	      90.0	      14.1	      -0.0	      90.0	       1.5	     -12.1	       1.9	       1.1	      -8.3	       3.6	
    48	0.480	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.5	      -4.8	       0.7	      -4.7	       0.4	       2.9	      -2.5	       2.0	       5.7	       1.8	      -2.0	      -5.7	       1.8	       3.1	       0.2	       8.8	      -3.1	      -0.2	       8.8	       1.2	       5.5	      -6.9	      -1.2	      -5.5	      -6.9	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.1	       1.9	       1.1	      -8.2	       3.5	
    49	0.490	      -9.6	       1.7	      -0.9	      -1.5	      -9.7	      -3.5	      -4.8	       0.7	      -4.7	       0.4	       2.9	      -2.5	       2.0	       5.7	       1.8	      -2.0	      -5.7	       1.8	       3.1	       0.2	       8.8	      -3.1	      -0.2	       8.8	       1.2	       5.5	      -6.9	      -1.2	      -5.5	      -6.9	     -24.6	     180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.1	       2.0	       1.1	      -8.2	       3.5	
    50	0.500	      -9.6	       1.7	      -1.0	      -1.5	      -9.7	      -3.6	      -4.8	       0.7	      -4.7	       0.5	       2.9	      -2.5	       2.0	       5.7	       1.8	      -2.0	      -5.7	       1.8	       3.1	       0.2	       8.8	      -3.1	      -0.2	       8.8	       1.2	       5.5	      -6.9	      -1.2	      -5.5	      -6.9	     -24.6	    -180.0	      90.0	      14.2	       0.0	      90.0	       1.6	     -12.1	       1.9	       1.1	      -8.3	       3.5	
