BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    34	0.340	 -9.595062	  1.667686	 -0.932853	 -1.550775	 -9.667007	 -3.584292	 -4.691511	  0.631777	 -4.702600	  0.455261	  2.938778	 -2.516193	  1.911810	  5.712090	  1.839087	 -1.911810	 -5.712090	  1.839087	  2.954476	  0.316058	  8.854192	 -2.954476	 -0.316058	  8.854192	  1.220368	  5.358688	 -6.903105	 -1.220368	 -5.358688	 -6.903105	-24.582676	-180.000000	 90.000000	 14.126453	 -0.000006	 90.000000	  1.548066	-12.212353	  2.018341	  1.060983	 -8.267898	  3.593930	
    35	0.350	 -9.578648	  1.673194	 -0.930386	 -1.558553	 -9.674046	 -3.583690	 -4.714933	  0.637458	 -4.716420	  0.447233	  2.941974	 -2.542158	  1.922236	  5.717515	  1.840709	 -1.922236	 -5.717515	  1.840709	  2.969005	  0.307413	  8.844303	 -2.969005	 -0.307413	  8.844303	  1.225120	  5.372575	 -6.891037	 -1.225120	 -5.372575	 -6.891037	-24.590054	180.000000	 90.000000	 14.129015	 -0.000005	 90.000000	  1.552781	-12.209270	  2.018273	  1.056996	 -8.247370	  3.564102	
    36	0.360	 -9.586537	  1.675183	 -0.936981	 -1.552143	 -9.673794	 -3.581965	 -4.714039	  0.638872	 -4.721147	  0.389282	  2.942818	 -2.563603	  1.929018	  5.716883	  1.843169	 -1.929018	 -5.716883	  1.843169	  2.979641	  0.302584	  8.856220	 -2.979641	 -0.302584	  8.856220	  1.229363	  5.376587	 -6.900099	 -1.229363	 -5.376587	 -6.900099	-24.595060	180.000000	 90.000000	 14.149259	 -0.000013	 90.000000	  1.555608	-12.200544	  2.012871	  1.055704	 -8.199018	  3.547682	
    37	0.370	 -9.581160	  1.671769	 -0.955074	 -1.526190	 -9.672001	 -3.583333	 -4.736003	  0.637268	 -4.708237	  0.348721	  2.943132	 -2.554536	  1.941943	  5.713892	  1.849820	 -1.941943	 -5.713892	  1.849820	  2.977162	  0.296312	  8.832512	 -2.977162	 -0.296312	  8.832512	  1.214639	  5.380250	 -6.871285	 -1.214639	 -5.380250	 -6.871285	-24.576498	-180.000000	 90.000000	 14.159241	 -0.000003	 90.000000	  1.551323	-12.214572	  1.999729	  1.055395	 -8.143402	  3.554478	
    38	0.380	 -9.596890	  1.674071	 -0.953962	 -1.520007	 -9.673790	 -3.575450	 -4.765472	  0.636832	 -4.710327	  0.354239	  2.946281	 -2.554148	  1.956737	  5.713848	  1.850100	 -1.956737	 -5.713848	  1.850100	  2.976260	  0.288129	  8.846804	 -2.976260	 -0.288129	  8.846804	  1.199190	  5.388916	 -6.886829	 -1.199190	 -5.388916	 -6.886829	-24.590624	180.000000	 90.000000	 14.152837	  0.000001	 90.000000	  1.552319	-12.189332	  1.999873	  1.054153	 -8.131827	  3.548768	
    39	0.390	 -9.616119	  1.674222	 -0.966203	 -1.520333	 -9.670534	 -3.570087	 -4.755443	  0.634998	 -4.712537	  0.401670	  2.949046	 -2.554902	  1.963808	  5.711495	  1.854328	 -1.963808	 -5.711495	  1.854328	  2.977137	  0.280863	  8.860637	 -2.977137	 -0.280863	  8.860637	  1.193539	  5.393951	 -6.897058	 -1.193539	 -5.393951	 -6.897058	-24.611353	180.000000	 90.000000	 14.150147	 -0.000006	 90.000000	  1.553413	-12.164816	  1.990870	  1.055506	 -8.199082	  3.548420	
    40	0.400	 -9.643514	  1.673790	 -0.963344	 -1.486169	 -9.673883	 -3.561999	 -4.756553	  0.637706	 -4.700944	  0.400543	  2.945996	 -2.542354	  1.971615	  5.712854	  1.856653	 -1.971615	 -5.712854	  1.856653	  2.985868	  0.269990	  8.825059	 -2.985868	 -0.269990	  8.825059	  1.195108	  5.406095	 -6.858988	 -1.195108	 -5.406095	 -6.858988	-24.593674	180.000000	 90.000000	 14.143345	  0.000009	 90.000000	  1.549615	-12.155444	  1.981137	  1.057833	 -8.204844	  3.552122	
    41	0.410	 -9.628949	  1.673590	 -0.954768	 -1.494074	 -9.677105	 -3.547900	 -4.748431	  0.639290	 -4.699080	  0.369879	  2.946937	 -2.567048	  1.977020	  5.715076	  1.867161	 -1.977020	 -5.715076	  1.867161	  3.009958	  0.264374	  8.803425	 -3.009958	 -0.264374	  8.803425	  1.215131	  5.413064	 -6.824881	 -1.215131	 -5.413064	 -6.824881	-24.586109	-180.000000	 90.000000	 14.144627	 -0.000012	 90.000000	  1.546525	-12.159208	  1.971350	  1.051698	 -8.188296	  3.529275	
    42	0.420	 -9.578578	  1.673715	 -0.968551	 -1.529623	 -9.677676	 -3.557263	 -4.756221	  0.643500	 -4.705132	  0.370478	  2.941439	 -2.566222	  1.984560	  5.716270	  1.865935	 -1.984560	 -5.716270	  1.865935	  3.021782	  0.258843	  8.816824	 -3.021782	 -0.258843	  8.816824	  1.219548	  5.419662	 -6.839043	 -1.219548	 -5.419662	 -6.839043	-24.598492	180.000000	 90.000000	 14.146461	 -0.000005	 90.000000	  1.545201	-12.173897	  1.970783	  1.055489	 -8.188024	  3.525525	
    43	0.430	 -9.574655	  1.676641	 -0.929835	 -1.525271	 -9.687227	 -3.534962	 -4.763547	  0.651057	 -4.708722	  0.351355	  2.941081	 -2.576932	  2.002576	  5.721039	  1.866130	 -2.002576	 -5.721039	  1.866130	  3.034886	  0.249288	  8.819099	 -3.034886	 -0.249288	  8.819099	  1.215132	  5.434142	 -6.841478	 -1.215132	 -5.434142	 -6.841478	-24.599718	-180.000000	 90.000000	 14.144023	 -0.000014	 90.000000	  1.548706	-12.154758	  1.986697	  1.055246	 -8.179842	  3.516899	
