BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
    38	0.380	  6.454652	  9.828762	-99.306259	 -6.454652	 -9.828762	 99.306259	 21.231297	 -2.744180	-97.681633	-12.367568	  2.770043	-99.193596	-91.225121	  2.078436	-40.910351	  3.221570	 99.925880	 -2.107013	-98.087135	 -0.634475	 19.455385	 -0.090670	 99.960670	  2.802769	
    39	0.390	  6.442134	  9.825335	-99.307411	 -6.442134	 -9.825335	 99.307411	 21.261234	 -2.738170	-97.675285	-12.234049	  2.757244	-99.210510	-91.223755	  2.073185	-40.913677	  3.213597	 99.926254	 -2.101760	-98.086021	 -0.622307	 19.461357	 -0.081014	 99.961090	  2.788094	
    40	0.400	  6.457788	  9.827425	-99.306183	 -6.457788	 -9.827425	 99.306183	 21.281242	 -2.746797	-97.670692	-12.183588	  2.755258	-99.216774	-91.228615	  2.087208	-40.902119	  3.230547	 99.925606	 -2.106316	-98.085876	 -0.623837	 19.462070	 -0.082947	 99.961143	  2.786115	
    41	0.410	  6.460785	  9.830834	-99.305656	 -6.460785	 -9.830834	 99.305656	 21.260435	 -2.754544	-97.675003	-12.316176	  2.768868	-99.200027	-91.225464	  2.111069	-40.907921	  3.258034	 99.924660	 -2.108827	-98.085831	 -0.612328	 19.462639	 -0.068715	 99.960800	  2.798634	
    42	0.420	  6.473206	  9.833011	-99.304626	 -6.473206	 -9.833011	 99.304626	 21.224958	 -2.752494	-97.682777	-12.309415	  2.769794	-99.200836	-91.221748	  2.101453	-40.916702	  3.248309	 99.924957	 -2.109866	-98.085869	 -0.597890	 19.462902	 -0.054172	 99.960838	  2.797736	
    43	0.430	  6.524392	  9.840557	-99.300537	 -6.524392	 -9.840557	 99.300537	 21.169971	 -2.750654	-97.694763	-12.336038	  2.770075	-99.197525	-91.225876	  2.103162	-40.907406	  3.249557	 99.924927	 -2.109283	-98.085640	 -0.596764	 19.464090	 -0.052943	 99.960831	  2.797974	
    44	0.440	  6.565093	  9.847126	-99.297203	 -6.565093	 -9.847126	 99.297203	 21.242832	 -2.761285	-97.678642	-12.276173	  2.769232	-99.204979	-91.230095	  2.132058	-40.896507	  3.281587	 99.923843	 -2.111086	-98.088440	 -0.569083	 19.450804	 -0.025989	 99.960968	  2.793551	
    45	0.450	  6.589514	  9.858715	-99.294434	 -6.589514	 -9.858715	 99.294434	 21.269455	 -2.748668	-97.673210	-12.172329	  2.759977	-99.218025	-91.232498	  2.129783	-40.891258	  3.273556	 99.924355	 -2.099164	-98.087616	 -0.572765	 19.454876	 -0.031422	 99.961220	  2.784505	
    46	0.460	  6.606255	  9.862241	-99.292969	 -6.606255	 -9.862241	 99.292969	 21.288406	 -2.745905	-97.669151	-12.080536	  2.749430	-99.229538	-91.228905	  2.130458	-40.899239	  3.273139	 99.924438	 -2.095883	-98.089088	 -0.580526	 19.447199	 -0.041482	 99.961487	  2.774760	
    47	0.470	  6.602776	  9.863049	-99.293121	 -6.602776	 -9.863049	 99.293121	 21.292366	 -2.741283	-97.668419	-12.056036	  2.748156	-99.232552	-91.233429	  2.136695	-40.888817	  3.277017	 99.924431	 -2.090192	-98.082512	 -0.584074	 19.480232	 -0.044370	 99.961510	  2.773734	
    48	0.480	  6.616099	  9.866068	-99.291931	 -6.616099	 -9.866068	 99.291931	 21.263760	 -2.740622	-97.674675	-12.198028	  2.760027	-99.214867	-91.240196	  2.159342	-40.872524	  3.299094	 99.923798	 -2.085517	-98.081329	 -0.574354	 19.486494	 -0.032100	 99.961212	  2.784736	
    49	0.490	  6.590907	  9.863190	-99.293892	 -6.590907	 -9.863190	 99.293892	 21.329849	 -2.747327	-97.660072	-12.217892	  2.756466	-99.212524	-91.233101	  2.153844	-40.888657	  3.296195	 99.923782	 -2.091089	-98.086563	 -0.543839	 19.461025	 -0.003128	 99.961418	  2.777658	
    50	0.500	  6.611386	  9.849932	-99.293846	 -6.611386	 -9.849932	 99.293846	 21.373554	 -2.756780	-97.650246	-12.112592	  2.744115	-99.225777	-91.236229	  2.176836	-40.880455	  3.322253	 99.922867	 -2.093768	-98.087158	 -0.560941	 19.457481	 -0.022725	 99.961700	  2.767241	
