BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    30	0.300	 -4.050600	  1.761253	 -0.146431	  0.722252	 -7.138067	 -2.092760	 -4.512910	  4.207088	 -3.318433	  3.088997	  1.915062	  1.105690	 -0.507107	  4.357207	 -9.384636	  0.507107	 -4.357207	 -9.384636	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.763966	180.000000	 90.000000	-18.820189	-180.000000	 90.000000	  1.638645	-11.009851	  6.420357	  0.967543	-13.311966	 11.341543	
    31	0.310	 -4.054605	  1.765478	 -0.136370	  0.725712	 -7.146178	 -2.092229	 -4.480003	  4.211507	 -3.320103	  3.056169	  1.918102	  1.100441	 -0.509990	  4.363069	 -9.385308	  0.509990	 -4.363069	 -9.385308	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.774460	180.000000	 90.000000	-18.811340	180.000000	 90.000000	  1.640014	-11.024758	  6.432570	  0.962631	-13.304433	 11.346713	
    32	0.320	 -4.051807	  1.769592	 -0.124797	  0.725322	 -7.153980	 -2.093009	 -4.443285	  4.216309	 -3.324914	  3.023669	  1.921452	  1.091784	 -0.514266	  4.368377	 -9.387209	  0.514266	 -4.368377	 -9.387209	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.781137	180.000000	 90.000000	-18.802937	-180.000000	 90.000000	  1.644543	-11.043780	  6.447986	  0.957365	-13.300856	 11.349186	
    33	0.330	 -4.045892	  1.773390	 -0.109849	  0.723924	 -7.159970	 -2.091999	 -4.429012	  4.219711	 -3.326408	  3.003720	  1.924053	  1.089688	 -0.519722	  4.371381	 -9.392156	  0.519722	 -4.371381	 -9.392156	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.785574	180.000000	 90.000000	-18.795034	-180.000000	 90.000000	  1.650237	-11.064879	  6.465608	  0.953022	-13.289197	 11.351563	
    34	0.340	 -4.040607	  1.777162	 -0.091610	  0.720745	 -7.164110	 -2.087827	 -4.412138	  4.221594	 -3.327190	  2.983932	  1.926493	  1.087118	 -0.525213	  4.371078	 -9.401018	  0.525213	 -4.371078	 -9.401018	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.789322	180.000000	 90.000000	-18.787495	180.000000	 90.000000	  1.655719	-11.081009	  6.482772	  0.948907	-13.281937	 11.353277	
    35	0.350	 -4.038120	  1.780915	 -0.073305	  0.718977	 -7.166261	 -2.082158	 -4.381911	  4.221957	 -3.328943	  2.960244	  1.928058	  1.080638	 -0.529127	  4.367910	 -9.413073	  0.529127	 -4.367910	 -9.413073	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.791893	-180.000000	 90.000000	-18.782154	180.000000	 90.000000	  1.661283	-11.092756	  6.497368	  0.945202	-13.284154	 11.352717	
    36	0.360	 -4.039936	  1.784585	 -0.057145	  0.719363	 -7.167548	 -2.075457	 -4.355735	  4.221487	 -3.327565	  2.938534	  1.928270	  1.078338	 -0.530339	  4.361481	 -9.431515	  0.530339	 -4.361481	 -9.431515	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.793924	-180.000000	 90.000000	-18.780176	180.000000	 90.000000	  1.664708	-11.100477	  6.507914	  0.942716	-13.283901	 11.351214	
    37	0.370	 -4.047105	  1.787175	 -0.044928	  0.722468	 -7.168308	 -2.067914	 -4.338217	  4.220263	 -3.321962	  2.918554	  1.927962	  1.080729	 -0.528948	  4.351676	 -9.456944	  0.528948	 -4.351676	 -9.456944	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.797600	180.000000	 90.000000	-18.779430	180.000000	 90.000000	  1.664482	-11.103319	  6.512066	  0.941301	-13.276241	 11.349384	
    38	0.380	 -4.057325	  1.788793	 -0.037691	  0.727208	 -7.168426	 -2.061006	 -4.316210	  4.218507	 -3.315806	  2.894001	  1.927917	  1.081488	 -0.524940	  4.339300	 -9.486073	  0.524940	 -4.339300	 -9.486073	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.800812	-180.000000	 90.000000	-18.778677	-180.000000	 90.000000	  1.661757	-11.102710	  6.510024	  0.940186	-13.267939	 11.345579	
    39	0.390	 -4.069875	  1.789636	 -0.034627	  0.735113	 -7.168324	 -2.055172	 -4.307416	  4.216607	 -3.307769	  2.877882	  1.927591	  1.084623	 -0.519668	  4.326371	 -9.515530	  0.519668	 -4.326371	 -9.515530	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.802258	-180.000000	 90.000000	-18.778851	-180.000000	 90.000000	  1.657504	-11.102124	  6.503590	  0.939510	-13.253063	 11.337936	
